
"[180, '175']",Loss of 5,24,"05-05-2022, 01:41 PM"
[180],0,25,"05-05-2022, 01:42 PM"
"[180, '110']",Loss of 70,15,"05-05-2022, 01:49 PM"
"[180, '220']",Gain of 40,30,"05-05-2022, 01:51 PM"
"[180, '40']",Loss of 140,5,"05-05-2022, 01:55 PM"
[180],0,25,"05-05-2022, 01:57 PM"
"[200, '195']",Loss of 5,16,"05-05-2022, 03:37 PM"
"[100, '110']",Gain of 10,15,"05-05-2022, 03:40 PM"
"[85, '230']",Gain of 145,32,"05-05-2022, 03:43 PM"
"[80, '82']",Gain of 2,11,"05-05-2022, 03:44 PM"
"[10, '11']",Gain of 1,2,"05-05-2022, 03:44 PM"
"[180, '183']",Gain of 3,25,"05-05-2022, 03:46 PM"
[180],0,25,"05-05-2022, 03:48 PM"
